Date,Census,Tree_Number,Shelter_type,Builder_order,Ara,Hem,Lep,Col,Orth,Hym,Dip,Egg,Gall,Miscellaneous,Leaf Count,Reps,,,,,,,,,
6/6/24,1,T14-19,Roll,Lep,0,0,0,0,0,0,0,0,0,Funnel shaped roll plus extra leaf,2,1,,,,,,,,,
6/6/24,1,T14-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/6/24,1,T14-21,Web,Ara,0,0,0,0,0,0,0,0,0,On twigs,0,2,,,,,,,,,
6/6/24,1,T14-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/6/24,1,T14-21,Curl,Hem,0,0,0,0,0,0,0,0,0,Web and frass inside,1,1,,,,,,,,,
6/6/24,1,T14-21,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,2,,,,,,,,,
6/6/24,1,T14-27,Web,Ara,0,0,0,0,0,0,0,0,0,On twigs,0,2,,,,,,,,,
6/6/24,1,T14-27,Web,Ara,0,0,0,0,0,0,0,0,0,Plus twigs,1,2,,,,,,,,,
6/6/24,1,T14-27,Tie,Unk,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T14-27,Gall,,0,0,0,0,0,0,0,0,25,Pinch 8 Orange 17,NA,NA,,,,,,,,,
6/6/24,1,T14-30,Web,Ara,0,0,0,0,0,0,0,0,0,Plus many twigs,1,1,,,,,,,,,
6/6/24,1,T14-30,Web,Ara,0,0,0,0,0,0,0,0,0,Plus twig,14,1,,,,,,,,,
6/6/24,1,T14-29,Curl,Hem,0,0,0,0,0,0,0,0,0,Unknown flying insect on iNat,1,1,,,,,,,,,
6/6/24,1,T14-30,Web,Ara,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-29,Fold,Ara,1,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-29,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,14,,,,,,,,,
6/6/24,1,T14-30,Web,Unk,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,
6/6/24,1,T14-30,Curl,Hem,1,0,0,0,0,0,0,1,0,"Spider, web",1,2,,,,,,,,,
6/6/24,1,T14-30,Curl,Hem,0,0,0,0,0,0,0,0,0,2 fell off,1,30,,,,,,,,,
6/6/24,1,T14-30,Curl,Hem,0,1,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-29,Curl,Hem,0,1,0,0,0,0,0,0,0,Not an aphid,1,1,,,,,,,,,
6/6/24,1,T14-29,Curl,Hem,0,0,1,0,0,0,0,0,0,Pupa,1,1,,,,,,,,,
6/6/24,1,T14-29,Fold,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-30,Web,Ara,1,0,0,0,0,0,0,0,0,,5,1,,,,,,,,,
6/6/24,1,T14-29,Web,Ara,0,0,0,0,0,0,0,0,0,Plus twig,1,1,,,,,,,,,
6/5/24,1,T11-02,Tie,Lep,0,1,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/5/24,1,T11-02,Web,Ara,1,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/5/24,1,T11-02,Web,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/5/24,1,T11-02,Tie,Lep,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/5/24,1,T11-02,Gall,,0,0,0,0,0,0,0,0,9,Orange 6 Bump 3,NA,NA,,,,,,,,,
6/5/24,1,T11-03,Web,Ara,0,0,0,0,0,0,0,0,0,Plus twigs,3,1,,,,,,,,,
6/5/24,1,T11-03,Fold,Ara,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/5/24,1,T11-03,Gall,,0,0,0,0,0,0,0,0,4,Orange 4,NA,NA,,,,,,,,,
6/5/24,1,T11-04,Fold,Lep,0,0,0,0,0,0,0,0,0,Empty parasitoid wasp cocoon,1,1,,,,,,,,,
6/5/24,1,T11-04,Curl,Hem,0,1,0,0,0,0,0,0,0,"Tiny, red",1,1,,,,,,,,,
6/5/24,1,T11-04,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/5/24,1,T11-04,Web,Ara,1,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/5/24,1,T11-04,Tie,Lep,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/5/24,1,T11-04,Gall,,0,0,0,0,0,0,0,0,32,Orange 30 Bumps 2,NA,NA,,,,,,,,,
6/5/24,1,T11-05,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,12,,,,,,,,,
6/5/24,1,T11-05,Gall,,0,0,0,0,0,0,0,0,10,Bubble 2 Orange 2 Pinch 6,NA,NA,,,,,,,,,
6/6/24,1,T11-06,Fold,Ara,0,0,0,0,0,0,0,1,0,Spider egg sac,1,1,,,,,,,,,
6/6/24,1,T11-06,Web,Ara,0,0,0,0,0,0,0,0,0,Plus twigs on T11-05,2,1,,,,,,,,,
6/6/24,1,T11-06,Gall,,0,0,0,0,0,0,0,0,14,Orange 9 Bump 1 Pointed 3 Pinch 1,NA,NA,,,,,,,,,
6/6/24,1,T11-07,Web,Ara,0,0,0,0,0,0,0,1,0,Spider egg sac,2,1,,,,,,,,,
6/6/24,1,T11-07,Web,Ara,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T11-07,Roll,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-07,Gall,,0,0,0,0,0,0,0,0,1,Pointed,NA,NA,,,,,,,,,
6/6/24,1,T11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/6/24,1,T11-09,Web,Ara,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-09,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-09,Gall,,0,0,0,0,0,0,0,0,36,Orange 35 Pinch 1,NA,NA,,,,,,,,,
6/6/24,1,T11-09,Web,Ara,1,0,0,0,0,0,0,0,0,Plus twigs,12,1,,,,,,,,,
6/6/24,1,T11-10,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-10,Tie,Lep,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T11-10,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,7,,,,,,,,,
6/6/24,1,T11-10,Tie,Lep,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T11-10,Gall,,0,0,0,0,0,0,0,0,33,Pointed 1 Yellow 31 (iNat) Fuzzy 1 (iNat),NA,NA,,,,,,,,,
6/6/24,1,T11-11,Web,Ara,1,0,0,0,0,0,0,0,0,Plus twigs,2,1,,,,,,,,,
6/6/24,1,T11-11,Web,Ara,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-11,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-11,Fold,Lep,0,0,0,0,0,0,0,0,0,Empty parasitoid wasp cocoon,1,1,,,,,,,,,
6/6/24,1,T11-11,Gall,,0,0,0,0,0,0,0,0,248,Orange 242 Pointed 1 Pinch 5,NA,NA,,,,,,,,,
6/6/24,1,T11-11,Web,Ara,0,0,0,0,0,0,0,1,0,Spider egg sac,1,1,,,,,,,,,
6/6/24,1,T14-29,Tie,Lep,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T14-30,Curl,Hem,0,1,0,0,0,0,0,0,0,Not an aphid,1,3,,,,,,,,,
6/6/24,1,T14-29,Web,Ara,1,0,0,0,0,0,0,0,0,,3,1,,,,,,,,,
6/6/24,1,T14-30,Gall,,0,0,0,0,0,0,0,0,58,Pointed 2 Pinch 3 Orange 53,NA,NA,,,,,,,,,
6/6/24,1,T14-30,Curl,Hem,0,0,0,0,0,0,0,0,0,Previous lep occupation,1,8,,,,,,,,,
6/6/24,1,T14-30,Web,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-30,Web,Unk,0,1,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-30,Curl,Hem,0,0,0,0,0,0,0,0,0,With spider web,1,1,,,,,,,,,
6/6/24,1,T14-29,Curl,Hem,0,0,0,0,0,0,0,0,0,Previous lep occupation,1,1,,,,,,,,,
6/6/24,1,T14-30,Curl,Hem,0,0,0,0,0,0,0,1,0,With spider web and egg sac,1,1,,,,,,,,,
6/6/24,1,T14-30,Web,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-29,Fold,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-30,Fold,Unk,0,1,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-30,Fold,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-30,Web,Ara,0,0,0,0,0,0,0,0,0,,3,1,,,,,,,,,
6/6/24,1,T14-29,Gall,,0,0,0,0,0,0,0,0,59,Orange 59,NA,NA,,,,,,,,,
6/6/24,1,T13-01,Fold,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T13-01,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T13-01,Gall,,0,0,0,0,0,0,0,0,237,Orange 234 Bump 1 Pinch 1,NA,NA,,,,,,,,,
6/6/24,1,T13-01,Roll,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T13-02,Fold,Lep,0,0,0,0,0,0,0,0,0,Most whole leaf,1,12,,,,,,,,,
6/6/24,1,T13-02,Fold,Lep,0,0,0,0,0,0,0,0,0,Tiny hexapod - Collembola,1,1,,,,,,,,,
6/6/24,1,T13-02,Tie,Lep,0,0,1,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T13-04,Curl,,0,0,0,0,0,0,0,0,0,iNat,1,44,,,,,,,,,
6/6/24,1,T13-04,Curl,,1,0,0,0,0,0,0,0,0,iNat,1,,,,,,,,,,
6/6/24,1,T13-03,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,6,,,,,,,,,
6/6/24,1,T13-03,Curl,Hem,1,0,0,0,0,0,0,0,0,Spider jumped out,1,,,,,,,,,,
6/6/24,1,T13-03,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T13-03,Gall,,0,0,0,0,0,0,0,0,57,Orange 57,NA,NA,,,,,,,,,
6/6/24,1,T13-05,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,3,,,,,,,,,
6/6/24,1,T13-05,Curl/Gall,,0,0,0,0,0,0,0,0,0,Little leaf edge - curls/galls on iNat. 5 on 1 leaf,1,1,,,,,,,,,
6/6/24,1,T13-08,Gall,,0,0,0,0,0,0,0,0,18,Bubble 17 Point 1,NA,NA,,,,,,,,,
6/6/24,1,T13-08,Tie,Lep,0,0,0,0,0,0,0,0,0,Eclosed lep pupa,2,1,,,,,,,,,
6/6/24,1,T13-08,Fold,Ara,1,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T13-08,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T13-08,Web,Unk,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T13-08,Gall,,0,0,0,0,0,0,0,0,915,Orange 915,NA,NA,,,,,,,,,
6/6/24,1,T13-10,Gall,,0,0,0,0,0,0,0,0,1,Orange 1,NA,NA,,,,,,,,,
6/6/24,1,T13-10,Fold,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T13-09,Tie,Lep,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T13-09,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T13-09,Gall,,0,0,0,0,0,0,0,0,53,Big yellow bump gall,NA,NA,,,,,,,,,
6/6/24,1,T11-14,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,8,,,,,,,,,
6/6/24,1,T11-14,Curl,Hem,1,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-14,Web,Ara,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-14,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-13,Web,Ara,0,0,0,0,0,0,0,0,0,Between 2 twigs,0,1,,,,,,,,,
6/6/24,1,T11-13,Web,Ara,0,0,0,0,0,0,0,0,0,,3,1,,,,,,,,,
6/6/24,1,T11-13,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,9,,,,,,,,,
6/6/24,1,T11-13,Curl,Hem,0,0,0,1,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-13,Tie,Lep,0,0,1,0,0,0,0,0,0,,2,1,,,,,,,,,
6/6/24,1,T11-13,Fold,Unk,0,0,0,0,0,0,0,0,0,Attached to empty web,1,1,,,,,,,,,
6/6/24,1,T11-13,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-13,Web,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T11-13,Roll,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-01,Gall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Row started but left blank, unsure if galls or no galls",NA,NA,,,,,,,,,
6/6/24,1,T14-01,Curl,Hem,0,65,0,0,0,0,0,0,0,Aphids - Curls on T14-01 and T14-03 are hem like accordingly,1,1,,,,,,,,,
6/6/24,1,T14-01,Curl,Hem,0,54,0,0,0,0,0,0,0,Aphids,1,1,,,,,,,,,
6/6/24,1,T14-01,Curl,Hem,0,19,0,0,0,0,0,0,0,Aphids,1,1,,,,,,,,,
6/6/24,1,T14-01,Gall,,0,0,0,0,0,0,0,0,3,Pink fuzzy iNat,NA,NA,,,,,,,,,
6/6/24,1,T14-02,Web,Ara,2,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-32,Web,Ara,1,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-32,Web,Ara,0,0,0,0,0,0,0,0,0,Twigs and trunk,0,1,,,,,,,,,
6/6/24,1,T14-32,Web,Ara,0,0,0,0,0,0,0,1,0,Spider egg sac,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,10,0,0,0,0,0,0,0,Aphids,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,29,0,0,0,0,0,0,0,Aphids,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,87,0,0,0,0,0,0,0,Aphids,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,0,0,0,0,0,0,0,0,,1,3,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,102,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,44,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,3,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,13,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,104,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,5,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,137,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,5,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,43,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,85,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,18,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,1,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-03,Web,Ara,0,0,0,0,0,0,0,1,0,Spider egg sac between 2 twigs,0,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,49,0,0,0,0,0,0,0,Accidentaly broken off,1,1,,,,,,,,,
6/6/24,1,T14-03,Curl,Hem,0,55,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/6/24,1,T14-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/3/24,1,T01-01,Tie,Lep,0,0,1,0,0,0,0,0,0,On iNat freefeeding caterpillar,2,1,,,,,,,,,
6/3/24,1,T01-01,Web,Ara,1,0,0,0,0,0,0,0,0,Spider web,1,1,,,,,,,,,
6/3/24,1,T01-01,Tie,Lep,0,0,1,0,0,0,0,0,0,,2,1,,,,,,,,,
6/3/24,1,T01-01,Gall,,0,0,0,0,0,0,0,0,16,On iNat,NA,NA,,,,,,,,,
6/3/24,1,T01-02,Gall,,0,0,0,0,0,0,0,0,1,,NA,NA,,,,,,,,,
6/3/24,1,T01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA,,,,,,,,,
6/3/24,1,T01-04,Fold,Lep,0,0,0,0,0,0,0,0,0,Empty - freefeeding caterpillar,1,1,,,,,,,,,
6/3/24,1,T01-04,Gall,,0,0,0,0,,0,0,0,54,"52 ""maybe galls"" on iNat",NA,NA,,,,,,,,,
6/3/24,1,T01-05,Web,Lep,0,0,1,0,0,0,0,0,0,,1,1,,,,,,,,,
6/3/24,1,T01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/3/24,1,T01-07,Tie,Lep,0,0,1,0,0,0,0,0,0,iNat,2,1,,,,,,,,,
6/3/24,1,T01-07,Fold,Lep,0,0,1,0,0,0,0,0,0,,1,1,,,,,,,,,
6/3/24,1,T01-07,Fold,Lep,0,0,0,0,0,0,0,0,0,Empty ,1,5,,,,,,,,,
6/3/24,1,T01-07,Gall,,0,0,0,0,0,0,0,0,1,,,1,,,,,,,,,
6/3/24,1,T01-07,Tie,Lep,0,0,1,0,0,0,0,0,0,iNat,2,1,,,,,,,,,
6/3/24,1,T01-07,Tie,Lep,0,0,0,0,0,0,0,0,0,Empty,2,1,,,,,,,,,
6/3/24,1,T01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/3/24,1,T01-14,Web,Lep,0,0,0,0,0,0,0,0,0,Empty,1,1,,,,,,,,,
6/3/24,1,T01-10,Fold,Lep,0,0,0,0,0,0,0,0,0,Empty,1,1,,,,,,,,,
6/3/24,1,T01-10,Gall,,0,0,0,0,0,0,0,0,13,iNat,NA,NA,,,,,,,,,
6/3/24,1,T01-09,Roll,Lep,0,0,1,0,0,0,0,0,0,"Eclosed pupa, possibly lep",1,1,,,,,,,,,
6/3/24,1,T01-12,Web,Ara,1,0,0,0,0,0,0,0,0,Spider web on twigs/petioles,0,1,,,,,,,,,
6/3/24,1,T01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/3/24,1,T01-16,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/3/24,1,T01-16,Web,Ara,1,0,0,0,0,0,0,0,0,Spider web on twigs/petiole,0,1,,,,,,,,,
6/3/24,1,T01-16,Gall,Ara,0,0,0,0,0,0,0,0,2,On leaf in spider web,NA,NA,,,,,,,,,
6/3/24,1,T01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/3/24,1,T01-18,Gall,,0,0,0,0,0,0,0,0,237,Maybe galls iNat,NA,NA,,,,,,,,,
6/3/24,1,T01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/3/24,1,T02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
6/3/24,1,T02-02,Gall,,0,0,0,0,0,0,0,0,3,,NA,NA,,,,,,,,,
6/3/24,1,T02-03,Gall,,0,0,0,0,0,0,0,0,1,,NA,NA,,,,,,,,,
6/3/24,1,T02-04,Fold,Lep,0,0,0,0,0,0,0,0,0,Empty,1,2,,,,,,,,,
6/3/24,1,T02-04,Tie,Lep,0,0,1,0,0,0,0,0,0,iNat caterpillar looks injured,2,1,,,,,,,,,
6/3/24,1,T02-04,Fold,Lep,0,1,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/3/24,1,T02-04,Fold,Ara,1,0,0,0,0,0,0,0,0,Spider fold with egg sac,1,1,,,,,,,,,
6/3/24,1,T02-05,Gall,,0,0,0,0,0,0,0,0,105,iNat,NA,NA,,,,,,,,,
6/3/24,1,T02-18,Tie,Lep,0,0,0,0,0,0,0,0,0,Empty,2,1,,,,,,,,,
6/3/24,1,T02-18,Gall,,0,0,0,0,0,0,0,0,2,iNat,NA,NA,,,,,,,,,
6/3/24,1,T02-18,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/3/24,1,T02-07,Web,Lep,0,0,0,0,0,0,0,0,0,"3 leaves, 2 acrobasis",3,1,,,,,,,,,
6/3/24,1,T02-07,Fold,Lep,0,0,0,1,0,0,0,0,0,Lep fold,1,1,,,,,,,,,
6/3/24,1,T02-07,Fold,Lep,0,0,0,0,0,0,0,0,0,Empty,2,12,,,,,,,,,
6/3/24,1,T02-07,Web,Lep,0,0,1,0,0,0,0,0,0,Acrobasis,3,1,,,,,,,,,
6/3/24,1,T02-07,Fold,Lep,0,0,1,0,0,0,0,0,0,Dead?,1,1,,,,,,,,,
6/3/24,1,T02-07,Tie,Lep,0,0,0,0,0,0,0,0,0,Empty,2,5,,,,,,,,,
6/3/24,1,T02-07,Fold,Lep,0,0,0,1,0,0,0,0,0,Larva,1,1,,,,,,,,,
6/3/24,1,T02-07,Web,Lep,0,0,1,0,0,0,0,0,0,Acrobasis caterpillar maybe in frass tube,5,1,,,,,,,,,
6/3/24,1,T02-07,Fold,Lep,0,0,1,0,0,0,0,0,0,Pupa,1,1,,,,,,,,,
6/4/24,1,T04-17,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/4/24,1,T04-17,Web,Ara,0,0,0,0,0,0,0,0,0,On twigs,0,1,,,,,,,,,
6/4/24,1,T04-17,Web,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/4/24,1,T04-17,Roll,Lep,0,0,1,0,0,0,0,0,0,,1,1,,,,,,,,,
6/4/24,1,T04-17,Tie,Unk,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/4/24,1,T04-17,Roll,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/4/24,1,T04-17,Web,Unk,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/4/24,1,T04-17,Web,Ara,0,0,0,0,0,0,0,0,0,On twigs,0,1,,,,,,,,,
6/4/24,1,T04-17,Gall,,0,0,0,0,0,0,0,0,46,Witch hats 46,NA,NA,,,,,,,,,
6/4/24,1,T04-21,Gall,,0,0,0,0,0,0,0,0,2,Pinch 2,NA,NA,,,,,,,,,
6/4/24,1,T04-16,Roll,Lep,0,0,0,0,0,0,0,0,0,,1,3,,,,,,,,,
6/4/24,1,T04-18,Roll,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/4/24,1,T04-18,Web,Ara,1,0,0,0,0,0,0,0,0,,3,1,,,,,,,,,
6/4/24,1,T04-18,Roll,Lep,0,0,1,0,0,0,0,0,0,,1,1,,,,,,,,,
6/4/24,1,T04-18,Gall,,0,0,0,0,0,0,0,0,46,Witch hats,NA,NA,,,,,,,,,
6/4/24,1,T04-18,Web,Ara,0,0,1,0,0,0,0,0,0,Spongy moth caterpillar,2,1,,,,,,,,,
6/4/24,1,T04-18,Web,Ara,0,0,0,0,0,0,0,0,0,,3,1,,,,,,,,,
6/4/24,1,T04-18,Tie,Lep,0,0,0,0,0,0,0,0,0,Dead leaf silked on top of two live ones,3,1,,,,,,,,,
6/4/24,1,T04-18,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,1,,,,,,,,,
6/4/24,1,T04-19,Web,Ara,0,0,0,0,0,0,0,0,0,,2,1,,,,,,,,,
6/4/24,1,T04-19,Web,Ara,0,0,0,0,0,0,0,0,0,Between leaf and twig ,1,1,,,,,,,,,
6/4/24,1,T04-19,Fold,Lep,0,0,0,0,0,0,0,0,0,,1,2,,,,,,,,,
6/4/24,1,T04-19,Gall,,0,0,0,0,0,0,0,0,1,Pinch 1,NA,NA,,,,,,,,,
6/4/24,1,T05-01,Gall,,0,0,0,0,0,0,0,0,81,Mostly bumps,NA,NA,,,,,,,,,
