Date_Census_1,Date_Census_2,Date_Census_3,Date_Census_4,Date_Census_5,Site,Tree_Number,Tree_species,Census_1,Census_2,Census_3,Census_4,Census_5,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-02,Red_Maple,NA,NA,NA,NA,NA,No leaves in range
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-03,Hawthorn,465,465,465,465,465,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-04,Hawthorn,351,351,351,351,351,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-12,Hawthorn,28,29,27,26,26,New twigs
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-06,Hawthorn,476,476,476,476,406,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-05,Red_Maple,148,136,176,176,172,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T01-11,Hawthorn,NA,112,NA,NA,NA,7/22: knocked down
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-07,Red_Maple,27,27,26,25,25,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-08,Red_Maple,94,106,93,90,24,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-09,Red_Maple,64,63,52,61,26,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-10,Red_Maple,70,60,60,60,19,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T03-11,Sugar_Maple,116,113,113,111,104,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-01,American_Hornbeam,156,156,156,168,179,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-02,Witch_Hazel,NA,NA,NA,NA,NA,Dead
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-03,Witch_Hazel,169,177,173,175,190,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-04,Hophornbeam,603,603,603,603,603,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-05,Hophornbeam,234,234,233,233,189,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-06,Hophornbeam,120,115,110,91,79,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-07,Hophornbeam,158,159,131,132,121,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-08,Hophornbeam,202,176,176,156,123,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-09,Witch_Hazel,65,64,69,56,56,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-10,Witch_Hazel,NA,NA,NA,NA,NA,Flat on ground
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-11,Hophornbeam,9,9,9,9,8,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-12,Hophornbeam,146,146,134,132,126,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-20,Hophornbeam,743,743,743,743,743,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-13,Downy_Serviceberry,60,57,57,50,47,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-14,Witch_Hazel,1002,1002,1002,1002,1002,
6/3/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-15,Red_Maple,26,26,26,26,25,
6/4/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-16,Witch_Hazel,39,43,34,35,35,16 and 18 are really part of the same plant
6/4/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-17,Witch_Hazel,272,272,156,184,184,
6/4/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-21,Witch_Hazel,3,6,7,7,8,
6/4/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-18,Witch_Hazel,476,476,476,476,476,16 and 18 are really part of the same plant
6/4/24,6/24/24,7/18/24,8/5/24,9/1/24,AT,T04-19,Hophornbeam,312,312,312,312,312,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-01,Downy_Serviceberry,206,206,206,123,70,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-02,Red_Maple,83,77,75,75,48,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-03,Witch_Hazel,46,44,42,42,40,Still expanding
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-04,Witch_Hazel,183,172,218,216,216,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-05,Witch_Hazel,927,927,927,926,926,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-06,Downy_Serviceberry,43,11,4,4,0,all leaves dead
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-07,Witch_Hazel,360,360,360,360,360,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-08,Shellbark_Hickory,170,162,159,154,139,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-09,Downy_Serviceberry,346,346,346,346,181,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-10,Witch_Hazel,31,30,28,28,28,
6/4/24,6/24/24,7/19/24,8/5/24,9/1/24,AT,T05-11,American_Beech,423,423,423,423,423,
6/4/24,6/25/24,7/19/24,8/5/24,9/1/24,AT,T05-12,Downy_Serviceberry,475,395,306,306,225,
6/4/24,6/25/24,7/19/24,8/5/24,9/1/24,AT,T05-13,Downy_Serviceberry,45,45,55,56,54,leaves below the height of the flag
6/4/24,6/25/24,7/19/24,8/5/24,9/1/24,AT,T05-14,Hophornbeam,643,643,643,643,486,
6/4/24,6/25/24,7/19/24,8/5/24,9/1/24,AT,T05-15,Hawthorn,4,4,4,4,4,
6/4/24,6/25/24,7/19/24,8/5/24,9/1/24,AT,T05-16,Hawthorn,477,477,477,477,273,
6/4/24,6/25/24,7/19/24,8/5/24,9/1/24,AT,T05-17,Shellbark_Hickory,48,48,48,48,45,
6/4/24,6/25/24,7/19/24,8/5/24,9/1/24,AT,T05-18,Shellbark_Hickory,NA,NA,NA,NA,NA,No leaves in range
6/4/24,6/25/24,7/19/24,8/5/24,9/1/24,AT,T05-19,Hawthorn,49,49,112,112,94,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-11,Nannyberry,0,0,0,0,0,Alive but none in range
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-18,Nannyberry,19,16,15,14,13,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-13,Nannyberry,58,74,114,43,53,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-19,Nannyberry,159,148,123,102,119,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-16,Nannyberry,NA,NA,NA,NA,NA,Dead and on ground
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-15,Nannyberry,52,53,54,51,51,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-14,Nannyberry,66,68,53,65,41,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-20,Nannyberry,214,214,214,214,214,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-26,Hawthorn,NA,NA,NA,NA,NA,Dead and on ground
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-24,Shellbark_Hickory,105,98,103,105,101,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-17,Nannyberry,NA,NA,NA,NA,NA,Dead and on ground
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-12,Nannyberry,37,38,37,38,36,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-21,Nannyberry,247,247,247,247,247,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-22,Nannyberry,NA,NA,NA,NA,NA,Dead and on ground
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-23,Nannyberry,NA,NA,NA,NA,NA,Dead and on ground
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-25,Nannyberry,NA,NA,NA,NA,NA,Missing and possibly beavered
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-31,Witch_Hazel,NA,NA,NA,NA,NA,Dead 
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-28,Hawthorn,NA,NA,NA,NA,NA,Dead
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-27,Hawthorn,64,64,61,57,44,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-29,Hawthorn,634,633,633,633,691,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-30,Hawthorn,535,532,532,532,532,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-01,Hawthorn,563,563,563,563,272,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-02,Nannyberry,300,300,249,249,216,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-04,Honeysuckle,1648,1648,1648,1006,983,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-03,Hawthorn,528,528,528,528,473,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-08,Hawthorn,1363,1361,1361,1361,1235,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-09,Deerberry,657,657,657,657,657,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-05,Red_Oak,104,101,100,105,89,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-06,Hophornbeam,NA,NA,NA,NA,NA,Missing beavered
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-07,Hawthorn,NA,NA,NA,NA,NA,Missing beavered
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-10,Hawthorn,46,58,55,47,44,Census 1: 10 dead Census 2: 9 dead Census 3: 6 dead
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T13-11,Hophornbeam,NA,NA,NA,NA,NA,Missing beavered
6/5/24,6/26/24,7/15/24,8/7/24,8/26/24,BU,T09-01,Witch_Hazel,869,1587,1587,1587,1585,Census 1: Leaves still expanding. Bent over by tree fall. Census 2: re-did the flagging
6/5/24,6/26/24,7/15/24,8/7/24,8/26/24,BU,T09-02,Witch_Hazel,657,657,655,655,655,Leaves still expanding
6/5/24,6/26/24,7/15/24,8/7/24,8/26/24,BU,T09-03,Witch_Hazel,426,425,425,425,425,Leaves still expanding
6/5/24,6/26/24,7/15/24,8/7/24,8/26/24,BU,T09-04,Witch_Hazel,907,907,907,907,905,Tree stood back up? Old flagging out of range.
6/5/24,6/26/24,7/15/24,8/7/24,8/26/24,BU,T09-05,Hophornbeam,1322,1322,1322,1322,518,Now horizontal leaves between tree and base fallen 
6/5/24,6/26/24,7/15/24,8/7/24,8/26/24,BU,T09-06,Witch_Hazel,456,455,455,455,455,
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-01,Hawthorn,1329,1329,1329,1329,1328,
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-02,Hawthorn,34,51,100,127,158,"Resprout?, Leaves still expanding. Ribes?"
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-08,Witch_Hazel,417,417,417,417,294,
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-09,Green Ash,926,926,926,926,925,Green? Root sprouts from stump
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-03,Witch_Hazel,1197,1197,1197,1197,1195,
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-04,Witch_Hazel,2624,2622,2622,2622,2622,
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-05,Witch_Hazel,454,454,454,454,454,
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-06,Witch_Hazel,668,668,668,668,668,Leaves still expanding
6/5/24,6/26/24,7/15/24,8/7/24,8/27/24,BU,T10-07,Witch_Hazel,235,235,235,235,235,
6/5/24,6/26/24,7/15/24,8/7/24,8/29/24,BU,T12-01,Witch_Hazel,46,52,52,41,40,
6/5/24,6/26/24,7/15/24,8/7/24,8/29/24,BU,T12-02,Witch_Hazel,186,212,212,212,202,
6/5/24,6/26/24,7/15/24,8/7/24,8/29/24,BU,T12-03,Witch_Hazel,619,619,619,619,619,
6/5/24,6/26/24,7/15/24,8/7/24,8/29/24,BU,T12-04,Witch_Hazel,251,251,251,207,216,
6/5/24,6/26/24,7/15/24,8/7/24,8/29/24,BU,T12-05,Hawthorn,194,193,228,228,141,
6/5/24,6/26/24,7/15/24,8/7/24,8/29/24,BU,T12-06,Hawthorn,344,344,344,305,264,
6/5/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-01,Hawthorn,443,443,443,419,377,
6/5/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-02,Hawthorn,139,142,140,86,0,
6/5/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-03,Hawthorn,64,67,65,54,0,
6/5/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-04,Hawthorn,345,345,345,297,24,
6/5/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-05,Hawthorn,115,109,109,99,94,
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-06,Hawthorn,124,50,55,44,0,
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-07,Nannyberry,168,170,161,160,157,
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-08,Yellow_Birch,55,55,55,55,70,
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-09,Hawthorn,225,225,225,209,56,
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-10,Blueberry,571,571,571,488,496,
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-11,Hawthorn,450,450,449,449,449,
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-12,Euonymos ,3144,3144,3143,3143,3143,
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-13,Nannyberry,475,475,475,475,475,Grew down
6/6/24,6/27/24,7/16/24,8/7/24,8/29/24,BU,T11-14,Nannyberry,616,616,616,316,481,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-01,Sweet_Birch,491,491,491,491,491,Birch
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-02,Yellow_Poplar,123,100,103,54,134,New branches grown down into range
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-32,Red_Maple,43,41,66,56,27,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-03,Sweet_Birch,240,239,239,239,238,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-05,Sweet_Birch,7,7,6,7,6,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-04,White_Oak,39,48,35,43,48,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-06,Sweet_Birch,8,8,8,8,2,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-07,Nannyberry,NA,NA,NA,NA,NA,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-08,Nannyberry,70,111,105,79,94,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-09,Nannyberry,NA,NA,NA,NA,NA,
6/6/24,6/27/24,7/16/24,8/7/24,8/30/24,BU,T14-10,Nannyberry,432,432,432,294,294,Whole tree bent by fallen tree
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-01,Downy_Serviceberry,1174,1173,1158,816,742,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-02,American_Beech,1111,1111,1111,1070,1070,Branches grown down into target area
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-03,Downy_Serviceberry,NA,NA,NA,NA,NA,Dead
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-04,Downy_Serviceberry,312,312,311,311,228,"Leaves changing color, recount next time"
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-05,Witch_Hazel,NA,NA,NA,NA,NA,Dead
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-06,American_Beech,503,503,503,503,503,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-10,Striped_Maple,222,167,167,168,166,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-07,Downy_Serviceberry,161,149,149,98,73,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-08,Witch_Hazel,176,176,176,196,158,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T06-09,Northern_Red_Oak,NA,NA,NA,NA,NA,Dead
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T07-01,Red_Maple,NA,NA,NA,NA,NA,Out of range
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T07-02,Red_Maple,18,NA,NA,NA,NA,Out of range on second census
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T07-03,American_Chestnut,239,239,239,239,239,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T07-04,Red_Maple,45,46,44,43,41,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T07-05,Witch_Hazel,460,460,460,460,460,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-01,American_Beech,665,665,665,665,665,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-02,Shellbark_Hickory,19,19,19,19,19,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-03,American_Beech,62,60,59,59,59,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-04,Chestnut_Oak,55,53,48,49,49,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-05,Downy_Serviceberry,80,74,74,64,51,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-06,Downy_Serviceberry,67,35,9,7,6,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-07,American_Beech,513,513,513,513,513,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-08,Witch_Hazel,141,141,130,84,81,
6/4/24,6/25/24,7/19/24,8/6/24,9/2/24,AT,T08-09,American_Beech,1441,1440,1440,1440,1440,American Chestnut?
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
